RCI 152.54.14.10
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 12:50:08	12.967	38.06	19.673
2014-05-21 13:01:46	14.604	59.089	21.976
2014-05-21 13:19:46	34.74	87.8	57.224
2014-05-21 13:42:45	26.16	91.669	60.547
2014-05-21 14:09:14	17.647	44.729	26.059
2014-05-21 14:41:13	21.482	57.321	39.846
2014-05-21 15:17:28	13.728	38.751	21.229
2014-05-21 15:59:04	13.484	59.644	22.851
2014-05-21 16:46:03	17.81	46.166	53.946
2014-05-21 17:37:19	13.76	38.755	23.161
2014-05-21 18:33:33	14.147	38.44	20.936
2014-05-21 19:34:45	13.219	38.318	20.09
2014-05-21 20:41:04	13.142	42.385	22.548
2014-05-21 21:52:38	15.549	57.131	21.278
2014-05-21 23:08:52	12.708	37.988	22.667
2014-05-22 00:30:13	14.412	39.225	26.521
2014-05-22 01:56:26	13.204	37.648	22.063
2014-05-22 03:27:44	13.206	41.529	22.876
2014-05-22 05:04:00	12.804	39.842	22.88
2014-05-22 06:45:14	12.93	38.054	22.398
OSF 198.129.50.13
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 13:04:56	167.617	238.208	40.517
2014-05-21 13:24:36	282.312	265.031	32.526
2014-05-21 13:49:26	195.753	212.97	180.314
2014-05-21 14:16:01	177.106	186.975	29.92
2014-05-21 14:47:51	163.035	205.471	41.919
2014-05-21 15:25:12	162.364	245.229	32.311
2014-05-21 16:07:35	145.317	181.533	116.131
2014-05-21 16:53:37	146.043	181.373	33.595
2014-05-21 17:44:48	144.605	189.874	35.794
2014-05-21 18:41:05	143.23	184.728	48.649
2014-05-21 19:42:52	168.844	184.47	53.598
2014-05-21 20:49:12	144.041	186.019	49.428
2014-05-21 22:00:18	144.475	188.49	32.478
2014-05-21 23:16:18	143.098	186.105	29.635
2014-05-22 00:37:17	142.043	184.676	32.431
2014-05-22 02:03:13	142.87	182.555	30.326
2014-05-22 03:34:20	143.026	186.911	36.095
2014-05-22 05:10:47	143.682	188.083	54.208
2014-05-22 06:51:57	143.501	183.595	43.29
2014-05-22 08:37:57	142.001	182.456	34.255
UCD 128.120.83.5
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 13:11:46	195.488	215.908	229.849
2014-05-21 13:41:08	472.619	360.291	328.439
2014-05-21 14:09:56	320.486	226.241	280.363
2014-05-21 14:40:53	189.696	247.422	220.071
2014-05-21 15:15:57	202.1	208.125	193.161
2014-05-21 16:02:23	248.654	249.376	486.726
2014-05-21 16:50:19	400.206	193.215	182.898
2014-05-21 17:40:51	219.587	194.634	217.03
2014-05-21 18:36:41	209.371	194.028	245.922
2014-05-21 19:36:24	183.942	228.735	169.243
2014-05-21 20:41:46	201.725	236.285	184.344
2014-05-21 21:51:55	185.894	219.445	202.601
2014-05-21 23:06:32	192.271	198.517	185.816
2014-05-22 00:25:55	185.533	189.709	187.441
2014-05-22 01:50:46	191.676	203.642	195.219
2014-05-22 03:21:32	207.063	199.678	238.358
2014-05-22 04:55:45	186.152	195.821	170.614
2014-05-22 06:40:14	461.476	193.861	212.342
2014-05-22 08:24:33	183.859	186.977	187.995
2014-05-22 10:15:03	201.04	210.894	217.892
UVA 145.100.133.129
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 13:29:04	289.162	1026.78	415.34
2014-05-21 14:14:08	333.672	1187.7	581.539
2014-05-21 14:53:59	348.8	694.715	446.352
2014-05-21 15:37:10	299.242	681.029	409.351
2014-05-21 16:22:15	238.954	688.871	276.644
2014-05-21 17:13:25	290.264	662.218	316.181
2014-05-21 18:14:54	279.648	940.158	367.774
2014-05-21 19:22:17	310.426	957.208	374.593
2014-05-21 20:31:18	291.743	675.357	472.456
2014-05-21 21:47:30	264.732	755.723	550.507
2014-05-21 23:03:26	253.988	671.274	329.506
2014-05-22 00:25:14	281.962	585.267	439.561
2014-05-22 01:57:36	301.484	983.681	355.64
2014-05-22 03:33:23	278.999	902.207	364.356
2014-05-22 05:11:07	275.249	768.856	319.731
2014-05-22 06:54:21	270.821	749.87	372.016
2014-05-22 08:43:15	261.721	836.569	334.286
2014-05-22 10:38:22	273.524	896.903	335.872
2014-05-22 12:37:44	265.997	812.228	382.393
2014-05-22 14:39:55	260.187	735.636	333.491
UFL 128.227.10.7
Failed to connect.
UH 129.7.98.4
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 13:03:28	54.69	64.004	25.922
2014-05-21 13:15:46	48.33	60.431	28.14
2014-05-21 13:34:32	77.487	62.261	86.371
2014-05-21 13:56:49	57.297	48.798	30.559
2014-05-21 14:24:34	73.444	62.645	27.461
2014-05-21 14:56:30	47.749	45.782	22.065
2014-05-21 15:34:02	72.584	50.739	28.401
2014-05-21 16:16:20	67.462	43.412	26.471
2014-05-21 17:03:28	47.502	57.833	22.047
2014-05-21 17:55:37	47.678	56.549	24.226
2014-05-21 18:52:32	49.325	44.193	21.693
2014-05-21 19:55:02	47.633	74.741	26.978
2014-05-21 21:02:15	68.937	40.593	22.1
2014-05-21 22:14:22	48.535	41.363	36.928
2014-05-21 23:31:13	48.094	40.956	22.005
2014-05-22 00:53:10	47.197	44.247	24.562
2014-05-22 02:20:03	49.256	41.386	21.407
2014-05-22 03:51:53	46.651	39.559	23.983
2014-05-22 05:28:45	47.315	40.896	23.046
2014-05-22 07:10:44	47.822	45.804	24.305
WVN 129.71.30.5
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 13:06:14	60.334	52.4	24.275
2014-05-21 13:21:12	177.68	67.64	50.702
2014-05-21 13:43:06	201.556	110.159	101.604
2014-05-21 14:06:47	45.77	74.304	100.897
2014-05-21 14:34:33	39.414	55.867	69.833
2014-05-21 15:07:18	56.573	66.508	41.542
2014-05-21 15:44:42	70.334	49.584	23.799
2014-05-21 16:27:47	105.404	58.301	20.369
2014-05-21 17:15:27	57.174	75.532	26.567
2014-05-21 18:08:22	77.748	64.644	32.774
2014-05-21 19:05:57	56.491	77.409	19.937
2014-05-21 20:08:17	53.451	68.585	17.729
2014-05-21 21:15:42	58.313	65.706	20.271
2014-05-21 22:28:09	55.362	73.464	17.633
2014-05-21 23:45:29	50.565	62.414	26.22
2014-05-22 01:07:52	57.033	67.432	17.936
2014-05-22 02:35:58	68.993	97.243	18.938
2014-05-22 04:08:25	78.297	50.277	18.142
2014-05-22 05:46:17	80.651	51.698	39.591
2014-05-22 07:29:13	66.246	66.465	42.279
SL 165.124.159.7
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 13:05:59	71.891	84.609	97.03
2014-05-21 13:20:41	161.325	98.428	21.909
2014-05-21 13:42:51	218.862	181.555	29.613
2014-05-21 14:07:09	82.561	86.391	88.39
2014-05-21 14:35:01	61.557	72.379	37.672
2014-05-21 15:07:47	53.564	71.14	40.33
2014-05-21 15:45:32	53.635	69.153	41.79
2014-05-21 16:29:03	55.247	65.967	88.895
2014-05-21 17:16:33	56.327	66.203	27.187
2014-05-21 18:09:39	57.656	65.932	61.834
2014-05-21 19:07:04	55.229	64.745	24.773
2014-05-21 20:09:43	56.827	69.229	32.507
2014-05-21 21:17:09	55.781	66.551	22.835
2014-05-21 22:29:33	53.486	66.483	23.702
2014-05-21 23:46:58	53.954	68.045	22.457
2014-05-22 01:09:25	55.661	66.758	23.901
2014-05-22 02:36:53	54.173	70.246	23.372
2014-05-22 04:09:30	54.158	71.43	30.998
2014-05-22 05:46:59	55.856	66.329	25.557
2014-05-22 07:29:31	54.648	68.835	27.803
DUKE 152.3.144.101
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 13:33:36	56.135	130.862	41.073
2014-05-21 13:45:27	36.366	53.623	20.571
2014-05-21 14:04:51	23.766	206.403	32.124
2014-05-21 14:26:58	32.591	77.533	16.436
2014-05-21 14:53:35	28.482	50.846	17.246
2014-05-21 15:25:16	27.602	50.58	21.497
